CASEC,data/Scotland/2017/dumgal17-08.blt,9,4994,1665,inf
CASEC,data/Scotland/2017/dumgal17-09.blt,10,5055,1686,inf
CASEB,data/Scotland/2017/dumgal17-10.blt,7,5149,1717,inf
CASEC,data/Scotland/2017/dumgal17-11.blt,5,5470,1824,inf
CASEB,data/Scotland/2017/dumgal17-12.blt,6,4360,1454,inf
1Q,data/Scotland/2017/e-ayrshire17-01.blt,8,6191,2064,inf
1Q,data/Scotland/2017/e-ayrshire17-02.blt,5,3739,1247,inf
CASEB,data/Scotland/2017/e-ayrshire17-03.blt,6,5721,1908,inf
CASEB,data/Scotland/2017/e-ayrshire17-04.blt,7,5064,1689,inf
1Q,data/Scotland/2017/e-ayrshire17-05.blt,5,3262,1088,72
CASEB,data/Scotland/2017/e-ayrshire17-06.blt,8,4626,1543,inf
CASEB,data/Scotland/2017/e-ayrshire17-07.blt,7,4695,1566,inf
CASEB,data/Scotland/2017/e-ayrshire17-08.blt,8,4462,1488,inf
CASEB,data/Scotland/2017/e-ayrshire17-09.blt,9,3807,1270,inf
CASEB,data/Scotland/2017/e-lothian17-01.blt,9,7608,2537,inf
CASEB,data/Scotland/2017/e-lothian17-02.blt,8,7397,2466,inf
CASEB,data/Scotland/2017/e-lothian17-03.blt,8,6279,2094,inf
CASEB,data/Scotland/2017/e-lothian17-04.blt,6,6270,2091,inf
CASEB,data/Scotland/2017/e-lothian17-05.blt,7,7790,2597,inf
CASEC,data/Scotland/2017/e-lothian17-06.blt,6,6141,2048,inf
CASEB,data/Scotland/2017/e-renfs17-1.blt,8,7073,2358,inf
CASEB,data/Scotland/2017/e-renfs17-2.blt,9,6055,2019,inf
CASEB,data/Scotland/2017/e-renfs17-3.blt,9,7595,2532,inf
CASEB,data/Scotland/2017/e-renfs17-4.blt,11,10203,3402,inf
CASEB,data/Scotland/2017/e-renfs17-5.blt,8,9773,3258,inf
1Q,data/Scotland/2017/edinburgh17-01.blt,10,14207,4736,inf
CASEB,data/Scotland/2017/edinburgh17-02.blt,7,11315,3772,inf
1Q,data/Scotland/2017/edinburgh17-03.blt,5,9474,3159,3144
CASEB,data/Scotland/2017/edinburgh17-04.blt,8,10399,3467,inf
CASEB,data/Scotland/2017/edinburgh17-05.blt,8,13567,4523,inf
1Q,data/Scotland/2017/edinburgh17-06.blt,7,11429,3810,inf
CASEB,data/Scotland/2017/edinburgh17-07.blt,9,8493,2832,inf
CASEB,data/Scotland/2017/edinburgh17-08.blt,6,11379,3794,inf
CASEB,data/Scotland/2017/edinburgh17-09.blt,6,9146,3049,inf
CASEB,data/Scotland/2017/edinburgh17-10.blt,6,13579,4527,inf
CASEB,data/Scotland/2017/edinburgh17-11.blt,6,8886,2963,inf
CASEC,data/Scotland/2017/edinburgh17-12.blt,10,10649,3550,inf
1Q,data/Scotland/2017/edinburgh17-13.blt,5,7613,2538,inf
