CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-4-Dunfermline-South_06052022_151924.blt,10,7793,2598,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-5---Abbey_06052022_171201.blt,5,4070,1357,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-5---Ayr-West_06052022_142628.blt,9,8369,2790,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-5---Carnoustie-and-District_06052022_150514(1).blt,7,5401,1801,inf
CASEC,data/Scotland/2022/PreferenceProfile_V0001_Ward-5---Maryfield_06052022_161515.blt,8,4213,1405,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-5-Govan_06052022_165258.blt,11,6456,2153,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-5-Rosyth_06052022_145544.blt,9,4848,1617,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-6---Arbroath-West-Letham-and-Friockheim_06052022_150511.blt,10,6503,2168,1660
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-6---Kyle_06052022_142627.blt,6,4820,1607,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-6---North-East_06052022_161516.blt,7,3789,1264,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-6---North-West-Dumfries_06052022_171201.blt,5,3950,1317,1750
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-6-Inverkeithing-and-Dalgety-Bay_06052022_151927.blt,8,7703,2568,inf
CASEC,data/Scotland/2022/PreferenceProfile_V0001_Ward-6-Pollokshields_06052022_170301.blt,10,10362,3455,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-7---Arbroath-East-and-Lunan_06052022_150515.blt,6,3798,1267,132
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-7---East-End_06052022_161516.blt,7,4117,1373,341
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-7---Maybole-North-Carrick-and-Coylton_06052022_142628.blt,6,4282,1428,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-7---Mid-and-Upper-Nithsdale_06052022_171202.blt,5,3972,1325,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-7-Cowdenbeath_06052022_145532.blt,9,6632,2211,87
CASEC,data/Scotland/2022/PreferenceProfile_V0001_Ward-7-Langside_06052022_165250.blt,9,11358,3787,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-8---Girvan-and-South-Carrick_06052022_142628.blt,7,4056,1353,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-8---Lochar_06052022_171202.blt,5,5326,1776,1561
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-8---Montrose-and-District_06052022_150515.blt,9,5049,1684,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-8---The-Ferry_06052022_161517.blt,9,8979,2994,190
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-8-Lochgelly-Cardenden-and-Benarty_06052022_151928.blt,8,4947,1650,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-8-Southside-Central_06052022_165258.blt,10,7717,2573,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-9---Nith_06052022_171202.blt,7,5007,1670,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-9-Burntisland-Kinghorn-and-Western-Kirkcaldy_06052022_145551.blt,9,5891,1964,2094
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-9-Calton_06052022_163749.blt,9,6072,2025,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_10___East_Kilbride_East.blt,7,4921,1641,108
CASEC,data/Scotland/2022/PreferenceProfile_V0001_Ward_10___Morningside_06052022_160625.blt,7,13547,4516,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_11___City_Centre_06052022_155600.blt,13,8857,2953,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_11___Rutherglen_South.blt,7,5729,1910,73
CASEC,data/Scotland/2022/PreferenceProfile_V0001_Ward_12___Leith_Walk_06052022_160625.blt,12,10996,3666,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_12___Rutherglen_Central_and_North.blt,7,5076,1693,1792
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_13___Cambuslang_West.blt,6,5735,1912,301
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_13___Leith_06052022_155600.blt,8,8442,2815,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_14___Cambuslang_East.blt,8,5104,1702,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_14___Craigentinny_Duddingston_06052022_160625.blt,6,10353,3452,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_15___Blantyre.blt,7,5206,1736,456
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_15___Southside_Newington_06052022_155603.blt,5,11788,3930,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_16___Bothwell_and_Uddingston.blt,6,5381,1794,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_16___Liberton_Gilmerton_06052022_160625.blt,10,12433,4145,483
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_17___Hamilton_North_and_East.blt,6,4757,1586,83
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_17___Portobello_Craigmillar_06052022_155600.blt,9,11183,3728,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_18___Hamilton_West_and_Earnock.blt,7,5823,1942,391
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_19___Hamilton_South.blt,5,7306,2436,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward_1___Almond_06052022_155516.blt,9,13909,4637,762
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_1___Clydesdale_West.blt,7,7393,2465,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_20___Larkhall.blt,9,6193,2065,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward_2___Bonnyrigg_06052022_151836.blt,4,6016,2006,32
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward_2___Clydesdale_North.blt,5,5686,1896,664
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_2___Pentland_Hills_06052022_160611.blt,9,11087,3696,682
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward_3___Clydesdale_East.blt,8,5289,1764,4057
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward_3___Drum_Brae_Gyle_06052022_155559.blt,8,9451,3151,222
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward_3___Shetland_West_06052022_120841.blt,8,758,253,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward_4___Clydesdale_South.blt,8,5260,1754,2624
